file,account_kr,account_kr_clean,account_en
CF,4. 영업활동으로 인한 자산부채의 변동,영업활동으로 인한 자산부채의 변동,Total liabilities
CF,매출채권의 감소(증가),매출채권의 감소(증가),매출채권의 감소(증가)
CF,미수금의 감소(증가),미수금의 감소(증가),미수금의 감소(증가)
CF,선급금의 감소(증가),선급금의 감소(증가),선급금의 감소(증가)
CF,선급비용의 감소(증가),선급비용의 감소(증가),선급비용의 감소(증가)
CF,부가세대급금의 감소(증가),부가세대급금의 감소(증가),부가세대급금의 감소(증가)
CF,재고자산의 감소(증가),재고자산의 감소(증가),Inventories
CF,매입채무의 증가(감소),매입채무의 증가(감소),매입채무의 증가(감소)
CF,미지급금의 증가(감소),미지급금의 증가(감소),미지급금의 증가(감소)
CF,예수금의 증가(감소),예수금의 증가(감소),예수금의 증가(감소)
CF,선수금의 증가(감소),선수금의 증가(감소),선수금의 증가(감소)
CF,미지급비용의 증가(감소),미지급비용의 증가(감소),미지급비용의 증가(감소)
CF,당기법인세부채의 증가(감소),당기법인세부채의 증가(감소),Total liabilities
CF,퇴직금의 지급,퇴직금의 지급,퇴직금의 지급
CF,II. 투자활동으로 인한 현금흐름,II. 투자활동으로 인한 현금흐름,II. 투자활동으로 인한 현금흐름
CF,1. 투자활동으로 인한 현금유입액,투자활동으로 인한 현금유입액,투자활동으로 인한 현금유입액
CF,단기금융상품의 감소,단기금융상품의 감소,단기금융상품의 감소
CF,차량운반구의 처분,차량운반구의 처분,차량운반구의 처분
CF,비품의 처분,비품의 처분,비품의 처분
CF,국고보조금의 수령,국고보조금의 수령,국고보조금의 수령
CF,2. 투자활동으로 인한 현금유출액,투자활동으로 인한 현금유출액,투자활동으로 인한 현금유출액
CF,단기금융상품의 증가,단기금융상품의 증가,단기금융상품의 증가
CF,장기금융상품의 증가,장기금융상품의 증가,장기금융상품의 증가
CF,토지의 증가,토지의 증가,토지의 증가
CF,건물의 취득,건물의 취득,건물의 취득
CF,기계장치의 취득,기계장치의 취득,기계장치의 취득
CF,차량운반구의 취득,차량운반구의 취득,차량운반구의 취득
CF,비품의 취득,비품의 취득,비품의 취득
CF,금형의 취득,금형의 취득,금형의 취득
CF,시설장치의 취득,시설장치의 취득,시설장치의 취득
CF,특허권의 취득,특허권의 취득,특허권의 취득
CF,상표권의 취득,상표권의 취득,상표권의 취득
CF,개발비의 증가,개발비의 증가,개발비의 증가
CF,소프트웨어의 취득,소프트웨어의 취득,소프트웨어의 취득
CF,임차보증금의 증가,임차보증금의 증가,임차보증금의 증가
CF,기타보증금의 증가,기타보증금의 증가,기타보증금의 증가
CF,III. 재무활동으로 인한 현금흐름,III. 재무활동으로 인한 현금흐름,III. 재무활동으로 인한 현금흐름
CF,1. 재무활동으로 인한 현금유입액,재무활동으로 인한 현금유입액,재무활동으로 인한 현금유입액
CF,단기차입금의 증가,단기차입금의 증가,Short-term borrowings
CF,장기차입금의 차입,장기차입금의 차입,장기차입금의 차입
CF,임대보증금의 증가,임대보증금의 증가,임대보증금의 증가
CF,2. 재무활동으로 인한 현금유출액,재무활동으로 인한 현금유출액,재무활동으로 인한 현금유출액
CF,단기차입금의 감소,단기차입금의 감소,Short-term borrowings
CF,장기차입금의 감소,장기차입금의 감소,장기차입금의 감소
CF,임대보증금의 감소,임대보증금의 감소,임대보증금의 감소
CF,IV. 현금의 증가(감소)(I+II+III),IV. 현금의 증가(감소)(I+II+III),IV. 현금의 증가(감소)(I+II+III)
CF,V. 기초의 현금,V. 기초의 현금,V. 기초의 현금
CF,VI. 기말의 현금,VI. 기말의 현금,VI. 기말의 현금
